id,username,date,tweet
1387929307511668741,depoknews,2021-04-30,"Siaga Agar Tidak Terjadi Peningkatan Sampah Saat Lebaran, DLHK Depok Siapkan Ini  https://t.co/0q9e8IfeQ0"
1387922207737794565,depokinfo_,2021-04-30,#News: Murid Kelas V  SDIT  Mutiara Islam Mengolah Limbah Agar Tidak Menjadi Sampah  https://t.co/QgBi2K3NHZ | Depok News
1387900942251565058,bpsdacilcis,2021-04-30,Kegiatan pemeliharaan membersihkan sampah dan pelumasan pintu outlet Situ Citayam pada Satuan Pelayanan Cimanceuri Cisadane.  Lokasi: Kelurahan Bojong Pondok Terong Kecamatan Cipayung Kota Depok  https://t.co/O5057Vxvpi
1387900860789706753,bpsdacilcis,2021-04-30,Kegiatan pemeliharaan membersihkan sampah dan pelumasan pintu outlet Situ Citayam pada Satuan Pelayanan Cimanceuri Cisadane.  Lokasi: Kelurahan Bojong Pondok Terong Kecamatan Cipayung Kota Depok  https://t.co/1i2C06PtsN
1387896966357553155,nycticebws,2021-04-30,"@maleficentt__ @SOFTLILBR4T @pengwinningg Kurang nih timelinenya, anak ui meninggal di danau juga bikin gempar kan, trus kmrn yg reinhart sinaga, org depok juga :'("
1387887012103868418,yloomgi,2021-04-30,@spilldteh up to this point kekny w bakal ngeiyain fenomena2 mistis yg orang2 sematkan ke depok saking kita percayaan ae tiap ada demit2 yg transit  but the kolor ijo was a huge hit tho. beneran tukang bambu kuning deket rumah lgsg banjir orderan
1387879360145674244,constellatiown,2021-04-30,Di DePoK Tu G AdA HuTaN   keinget bgt syal 😀 taunya...
1387846694671249409,yangnyeomgejank,2021-04-30,"@JyuMinTen @AREAJULID Mjb ini semua yang di foto udh meninggal semua, termasuk itu hewannya si gorila (harambe), sama rakun (yg meranin rocket di series guardians of the galaxy) skrg di tambah foto si babi hutan kecil yang disangka bapet sama warga depok ini (mati krn dipotong warga) 🥲"
1387838280243171330,agiegi,2021-04-30,"EH TOLONG PAKE OTAK INI BISA GA SIH MASYARAKAT. ASTAGHFIRULLAH Kemarin shubuh anter suami ke bus bandara, pas di titik ini ada motor hampir kepleset karena sampah plastik bercecer di jalan @pemkotdepok Pak ini Depok udah 22 tahun masyarakat susah banget di edukasi ya :'(  https://t.co/bsOnpBE52l"
1387805593868509184,tofuhajime,2021-04-29,"@esjerukeprok hjdfjd depok dah terlalu banyak manusia dan polusi,,, 😭😭"
1387805048738963456,hajimehajima,2021-04-29,@tofuhajime HSDKJEKDNSS BRRT BADAN KM UDH ADAPTASI sm udara depok😩😩
1387804088654458880,sadiementary,2021-04-29,"Awas aja kalo yg pada ngeroast depok skrg 3-20 thn ke depannya beli properti di depok 😡😡😡😡  no banjir, relatif rimbun, deket jkt, bakal ada tol ke mana-mana, KRL lengkap, terus jg ada w di situ. apalagi nikmat depok yg kau dustakan???"
1387801123487027206,diansubrata,2021-04-29,"@sitamanda Wa dari awal ngiranya ini emang sengaja ada yg ngelepas babi hutan, entah buat pengalihan isu buat maling beneran or saking keselnya sama absurdnya warga Depok.  Gak taunya twist banget asli cerita aslinya 🤣🤣🤣 sungguh Bekasi seneng ada yang lebih hina-able."
1387800112680751107,sitamanda,2021-04-29,"@diansubrata Waktu awal baca beritanya, gw mikirnya ada babi nyasar aja, udah skeptis segala babi ngepet. Tapi ya bingung aja, kalau itu babi nyasar, nyasar dari mana di Depok. Gak mungkin ada perternakan babi di sana 😂 Dan udah kepikiran aja, Depok terlalu kota untuk babi dari hutan."
1387799682475184129,nadilalestari1,2021-04-29,Kasian banget orang depok ga kenal ama babi hutan 🤣
1387795037224792069,ichwxn,2021-04-29,"Jam 2 pagi berangkat ke Masjid Raya Bandung dari Depok naik mobil ber5 orang.  Nyampe sana subuh. Makan bubur, foto-foto di lapangan masjid yang seluas bandar udara pesawat.  Jam 6, pulang lagi ke Depok."
1387785136083652614,bukanent_id,2021-04-29,"PART 1 POCONG &amp; NONI BELANDA yang DOMINAN di DANAU CINCIN, Hampir kesuru...  https://t.co/gpbx0K51TA via @YouTube #podcast #horror #Depok"
1387784082377957381,nanonux,2021-04-29,"Di bogor ada silipalm valley yang dulunya tempat berburu, salah satunya babi hutan. Sekarang pindah ke depok..."
1387779271289094146,anditoaja,2021-04-29,"Minggu lalu dunia dibuat kagum atas keberhasilan rover Preserverance mengekstrak Oksigen dari atmosfer Karbondioksida Mars.  Minggu ini, warga Depok, Indonesia, dibuat heboh oleh isu Babi Ngepet.  https://t.co/RLyj9g2wIF"
1387767961780432897,memuorist,2021-04-29,@frvntal Ada aku. Diem deh Depok hutan.
1387763005270732837,_sanamrif,2021-04-29,"@ZOO_FESS Tuhan membuat negri Depok jauh dari hutan, tapi ustad gadungan membeli babi hutan secara online. :))  https://t.co/PdiqSHVpVA"
1387761488081956867,reyricho,2021-04-29,"@asepirawan Depok mendingan daripada nyetir ke cikarang, tambun, setu, matik kelindes kontener"
1387760742061981711,twelvebot,2021-04-29,"Esame avvocati, Università di Depok Terendam Banjir: Hujan deras mengguyur wilayah Jakarta Banjir: Hujan deras membuat sejumlah"
1387757258981863424,republikaonline,2021-04-29,Satgas PUPR Kota Depok fokus angkat material longsor di Pasir Putih Depok.  https://t.co/GAtcp6DuRn
1387751930714378243,twelvebot,2021-04-29,Hujan deras membuat sejumlah rumah di Depok Terendam Banjir
1387742241591107586,dsblf,2021-04-29,@patriafedi @akarprana @SoundOfYogi @barbieproletar Beli babi hutan di komunitas kucing depok is da shit
1387740798989463552,akarprana,2021-04-29,@SoundOfYogi Lah gue bilang gitu juga semalam di space gara gara ada yang bilang itu babi dsri kebun sawit. Ya kali ada kebun sawit di Depok. Ya kali ada babi muncul di tengah kota. Iseng bener. Paling mungkin ya ada yang beli dan lepasin itu di kota.   Cc @patriafedi @barbieproletar @dsblf
1387738200483930114,dinnah_,2021-04-29,"@KWlTYPAYE @thufeilmuhammad warga Taman Duta waktu dan tempat dipersilakan. 🎤 beli rumah di situ murah2 krn sejak 1996 (setidaknya itu tahun yg bisa kuingat) banjirnya masih terjadi sampai sekarang. 🤗 sabar bgt loh jd warga Depok. islamis bangeeet kan, melatih kesabaran, masyaallah."
1387735471329988608,rahardjapoetra,2021-04-29,"Babi hutan ternyata punya nama ""unik"" dari bahasa Sanskerta.  Warga Depok, mari merapat! Wkwkwk  https://t.co/oOvatzch1G"
1387731313872932865,thegondrongers8,2021-04-29,"Bisa²nya kegocek bapak2 Depok yg lagi ngerondaa terus gabut, sampe akhirnya ketemu babi hutan liar yg Gatau dari mana asalnya, udh haram di fitnah juga ngepet jadi kepikiran babinya masuk surga apa neraka ya?  https://t.co/Krxv1Oqlct"
1387723027035561992,fandiyto,2021-04-29,kalian heran kenapa ada babi hutan di depok? jawabannya adalah karena bapak ini beli babi hutan di olshop  https://t.co/zvHN6rLeMB
1387720593831649282,pasangmata,2021-04-29,"Tumpukan sampah di Jalan H Umar Depok ini dibiarkan menumpuk, aroma tak sedapnya bikin warga tak tahan.   https://t.co/dEnZ1sQHF8  https://t.co/TT4g2SWlSV"
